Momentum Weight,Value Weight,CAGR,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
0.0,1.0,0.11958616914006703,0.13211940157397245,0.20262716691485472,0.6520320230775861,-0.3276122931517564
0.1,0.9,0.11084997696645993,0.12490404956700966,0.20549657639537816,0.6078157201348825,-0.2900834186921523
0.2,0.8,0.14511303554772748,0.15487265576188045,0.20424408596969257,0.7582724122786191,-0.352757236227898
0.30000000000000004,0.7,0.1621600628257216,0.16834470485808004,0.19838012676698066,0.8485966190344231,-0.32561704420142856
0.4,0.6,0.18587913106419007,0.18909864771091323,0.20250561653990537,0.9337945827969162,-0.269943571667136
0.5,0.5,0.22289843637668172,0.2199108829907934,0.2029200139175348,1.0837318544644077,-0.23482933030590028
0.6000000000000001,0.3999999999999999,0.25716402654621606,0.24800735407415198,0.20527047528678108,1.2081978849011952,-0.19843173627588337
0.7000000000000001,0.29999999999999993,0.23075737476631897,0.22772195156720726,0.21099775985824634,1.0792624135924318,-0.20136610111325268
0.8,0.19999999999999996,0.18514171989613715,0.18622940970245938,0.19039607561534924,0.9781157993964769,-0.1884220663284908
0.9,0.09999999999999998,0.2083554310956306,0.20611580101421811,0.19288223893671588,1.068609542021358,-0.19375835173406636
1.0,0.0,0.2305195480726323,0.22538685355334875,0.19840333504505528,1.1360033514666767,-0.17754339554570955
